"row_number","animal_name","animal_gender","animal_birth_month","breed_rc","borough","zip_code","community_district","census_tract2010","nta","city_council_district","congressional_district","state_senatorial_district","license_issued_date","license_expired_date"
1753,"Shadow","M",2000-01-01,"Beagle","Brooklyn",11236,318,1014,"BK50",46,8,19,2014-12-29,2016-01-30
2415,"Rocco","M",2011-10-01,"Boxer","Brooklyn",11210,314,756,"BK43",45,9,17,2015-01-07,2016-01-30
3328,"Luigi","M",2005-09-01,"Maltese","Bronx",10464,210,516,"BX10",13,14,34,2015-01-17,2016-02-02
7537,"Petunia","F",2013-08-01,"Pug","Brooklyn",11221,304,419,"BK78",34,7,18,2015-03-01,2016-03-28
8487,"Romeo","M",2008-10-01,"Maltese","Bronx",10451,201,65,"BX34",17,15,32,2015-03-09,2016-03-09
10503,"Brandy","M",2004-01-01,"Unknown","Brooklyn",11225,309,800,"BK60",40,9,20,2015-03-27,2016-03-29
11682,"Sam","M",2011-05-01,"Pug","Manhattan",10021,108,124,"MN31",5,12,28,2015-04-06,2016-04-06
12307,"May","F",2004-05-01,"Unknown","Staten Island",10305,502,74,"SI14",50,11,23,2015-04-10,2016-03-30
12652,"Ruby","F",2010-04-01,"Boxer","Brooklyn",11220,310,34,"BK31",43,11,22,2015-04-13,2018-03-06
13839,"Leo","M",2014-01-01,"Beagle","Bronx",10468,207,269,"BX30",14,13,33,2015-04-21,2016-03-24
15671,"Sophie","F",2011-08-01,"Boxer","Manhattan",10003,106,48,"MN21",2,12,28,2015-05-01,2016-03-18
16260,"Rosita","F",2014-04-01,"Chihuahua","Queens",11103,401,151,"QN70",22,14,12,2015-05-06,2016-05-06
16425,"Kc","F",2014-07-01,"Unknown","Queens",11417,410,58,"QN56",32,8,15,2015-05-07,2016-05-07
16475,"Cody","M",2012-12-01,"Maltese","Bronx",10465,210,132,"BX52",13,14,34,2015-05-08,2016-05-08
17302,"Frank","M",2013-04-01,"Pug","Queens",11429,413,580,"QN34",27,5,14,2015-05-14,2016-05-14
18549,"Mona","F",2013-02-01,"Beagle","Queens",11101,402,199,"QN31",26,12,12,2015-05-25,2016-04-28
19978,"Lady","F",2004-10-01,"Unknown","Bronx",10473,209,46,"BX09",18,15,34,2015-06-05,2016-06-17
20335,"Bailey","M",2006-04-01,"Bichon Frise","Bronx",10463,208,295,"BX29",11,16,34,2015-06-08,2016-06-21
22006,"Angel","M",2003-11-01,"Maltese","Bronx",10455,201,31,"BX39",8,15,29,2015-06-21,2016-07-18
22212,"Zack","M",2011-04-01,"Beagle","Bronx",10473,209,38,"BX09",18,15,34,2015-06-22,2016-07-05
26463,"Sara","F",2010-07-01,"Poodle","Bronx",10463,208,301,"BX29",11,16,34,2015-07-25,2016-07-25
26763,"Blue","M",2004-01-01,"Shih Tzu","Brooklyn",11206,301,493,"BK78",34,7,18,2015-07-27,2016-07-30
26821,"Pogi","F",2009-07-01,"Pug","Bronx",10471,208,337,"BX22",11,16,34,2015-07-28,2016-05-28
26856,"Max","M",2004-04-01,"Bichon Frise","Queens",11427,413,548,"QN34",23,5,14,2015-07-28,2016-07-28
27026,"Shea","F",2008-01-01,"Puggle","Bronx",10464,210,516,"BX10",13,14,34,2015-07-29,2016-08-13
27243,"Meezy","M",2009-08-01,"Unknown","Bronx",10473,209,4,"BX09",18,15,34,2015-07-31,2017-08-15
28955,"Rocco","M",2007-01-01,"Pug","Brooklyn",11209,310,162,"BK31",43,11,22,2015-08-12,2016-08-30
28988,"Ernie","M",2005-01-01,"Unknown","Manhattan",10017,106,90,"MN19",4,12,28,2015-08-13,2016-08-30
29692,"Milo","M",2014-06-01,"Poodle","Queens",11421,409,6,"QN53",30,7,12,2015-08-17,2016-08-17
31099,"Dallas","F",2014-05-01,"Pug","Queens",11105,401,101,"QN72",22,14,12,2015-08-28,2016-07-15
31762,"Ricardo","M",2007-07-01,"Unknown","Manhattan",10009,106,44,"MN50",4,12,27,2015-09-04,2016-09-27
33848,"Finn","M",2009-05-01,"Unknown","Bronx",10463,208,335,"BX22",11,16,34,2015-09-23,2016-09-26
35100,"Rufus","M",2015-06-01,"Puggle","Brooklyn",11237,301,453,"BK77",34,7,18,2015-10-05,2016-10-05
38323,"Bet","F",2014-04-01,"Beagle","Queens",11374,406,721,"QN17",29,6,16,2015-11-03,2018-11-03
39177,"Leo","M",2013-09-01,"Unknown","Queens",11379,405,661,"QN21",30,6,15,2015-11-10,2016-11-03
39851,"Sid","M",2011-08-01,"Unknown","Queens",11375,406,737,"QN17",29,6,15,2015-11-16,2016-10-04
40630,"Max","M",2010-07-01,"Unknown","Queens",11377,402,245,"QN63",26,14,12,2015-11-23,2016-10-14
